"k_4","Subtitles","k_5","k_6","Film","Rank","Title","n_days","ID","Critic.Rating","Critic.Votes","User.Votes","Budget","Star.Power","User.Rating","Runtime","Netflix.Original.dummy.","Adventure"," Drama"," Family"," History"," Romance","Drama"," Fantasy"," Sci-Fi","Documentary","Action"," Adventure"," Thriller"," Crime"," Mystery","Animation"," Comedy"," Musical","Crime"," Horror","Thriller"," Western","Comedy"," War"," Sport"," Music"," Reality-TV","Fantasy","Horror"," Biography"," Action","Biography","Romance","Mystery","Family"
"4","Subtitles/subtitles_tt21059520.txt","2","4","Films (English)",8,"Girl in the Picture",21,21059520,52,27,107,0,2,7.2,101,"1",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt12676006.txt","5","3","Films (English)",10,"Borrego",7,12676006,52,18,43,0,4,5.4,102,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt4590256.txt","2","4","Films (English)",4,"He's All That",21,4590256,36,58,866,0,14,4.4,88,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt20420316.txt","3","3","Films (Non-English)",9,"Gladbeck: The Hostage Crisis",7,20420316,52,10,25,0,1,7.5,91,"1",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt6467266.txt","3","3","Films (English)",10,"Sing 2",56,6467266,49,122,422,8.5e+07,39,7.4,110,"1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt3758814.txt","5","3","Films (English)",4,"The Ice Road",14,3758814,42,119,979,0,15,5.6,109,"1",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt5177088.txt","2","4","Films (English)",8,"The Girl in the Spider's Web",7,5177088,43,209,492,4.3e+07,25,6.1,115,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt15686024.txt","4","5","Films (Non-English)",5,"Togo",7,15686024,52,8,5,0,1,5.3,92,"1",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt8385474.txt","4","3","Films (English)",9,"A Dog's Journey",14,8385474,43,63,195,1.6e+07,16,7.4,109,"1",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt18258584.txt","3","2","Films (English)",10,"Jackass 4.5",21,18258584,52,6,65,0,17,6.5,90,"1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt18970380.txt","4","5","Films (Non-English)",7,"The Taming of the Shrewd",21,18970380,52,5,7,0,4,4.5,112,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt16301388.txt","2","4","Films (English)",8,"Death to 2021",7,16301388,52,16,166,0,14,6.3,60,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt5343008.txt","4","5","Films (Non-English)",7,"Amandla",21,5343008,52,9,17,521624.696991939,7,5.6,106,"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt4425200.txt","1","6","Films (English)",5,"John Wick: Chapter 2",7,4425200,75,486,987,4e+07,35,7.4,122,"1",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt10187208.txt","2","1","Films (English)",10,"A Boy Called Christmas",35,10187208,61,59,188,0,11,6.7,106,"1",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
